Trip Year,Trip Month,Start Station,Start Latitude,Start Longitude,Total Trips Started
2019,August,48 Ave & 30 Pl,40.74128309,-73.93725872,259
2019,August,48 Ave & 5 St,40.74436329,-73.95587325,505
2019,August,49 Ave & 21 St,40.74252,-73.948852,632
2019,August,5 Ave & 3 St,40.6728155,-73.98352355,2004
2019,August,5 Ave & E 103 St,40.7922553,-73.95249933,3011
2019,August,5 Ave & E 126 St,40.80698,-73.941747,825
2019,August,5 Ave & E 29 St,40.7451677,-73.98683077,6425
2019,August,5 Ave & E 63 St,40.766368,-73.971518,3106
2019,August,5 Ave & E 73 St,40.77282817,-73.96685276,7154
2019,August,5 Ave & E 78 St,40.77632142,-73.96427393,5259
2019,August,5 Ave & E 88 St,40.78307,-73.95939,7329
2019,August,5 Ave & E 93 St,40.7857851,-73.957481,2402
2019,August,5 St & 51 Ave,40.7423737,-73.9566,522
2019,August,5 St & 6 Ave,40.6704836,-73.98208968,546
2019,August,5 St & Market St,40.69999748,-73.97440128,410
2019,August,6 Ave & 12 St,40.6663181,-73.9854617,688
2019,August,6 Ave & 9 St,40.668127,-73.98377641,1197
2019,August,6 Ave & Broome St,40.72430832,-74.00473036,6008
2019,August,6 Ave & Canal St,40.72243797,-74.00566443,6288
2019,August,6 Ave & W 33 St,40.74901271,-73.98848395,9899
2019,August,6 Ave & W 34 St,40.74964,-73.98805,3935
2019,August,6 St & 7 Ave,40.6686627,-73.97988067,784
2019,August,7 Ave & Central Park South,40.76674056,-73.97906899,6765
2019,August,7 Ave & Park Pl,40.6776147,-73.97324283,2353
2019,August,7 St & 3 Ave,40.67260298,-73.98983002,761
2019,August,7 St & 5 Ave,40.6704922,-73.98541675,1008
2019,August,8 Ave & W 31 St,40.75058535,-73.99468482,12871
2019,August,8 Ave & W 33 St,40.751551,-73.993934,9717
2019,August,8 Ave & W 52 St,40.76370739,-73.9851615,5990
2019,August,9 Ave & W 18 St,40.74317449,-74.00366443,5817
2019,August,9 Ave & W 22 St,40.7454973,-74.00197139,6368
2019,August,9 Ave & W 28 St,40.74937024,-73.99923384,4684
2019,August,9 Ave & W 45 St,40.76019252,-73.9912551,7119
2019,August,9 St & 44 Rd,40.74966,-73.9521,720
2019,August,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,807
2019,August,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,823
2019,August,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,1113
2019,August,Adam Clayton Powell Blvd & W 126 St,40.80949535,-73.94776493,1110
2019,August,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2400
2019,August,Albany Ave & Fulton St,40.6800105,-73.938475,345
2019,August,Allen St & Hester St,40.71605866,-73.99190759,5936
2019,August,Allen St & Rivington St,40.72019576,-73.98997825,6188
2019,August,Allen St & Stanton St,40.722055,-73.989111,7541
2019,August,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,689
2019,August,Amsterdam Ave & W 125 St,40.813358,-73.956461,956
2019,August,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,1929
2019,August,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,5159
2019,August,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,3547
2019,August,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3325
2019,August,Astoria Park S & Shore Blvd,40.7767,-73.927631,705
2019,August,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2066
2019,August,Atlantic Ave & Furman St,40.69165183,-73.9999786,3594
2019,August,Avenue C & E 18 St,40.730563,-73.973984,3516
2019,August,Avenue D & E 12 St,40.72580614,-73.97422494,2109
2019,August,Avenue D & E 3 St,40.72082834,-73.97793172,2636
2019,August,Avenue D & E 8 St,40.72368361,-73.97574813,3081
2019,August,Baltic St & 5 Ave,40.6795766,-73.97854971,1717
2019,August,Bank St & Hudson St,40.73652889,-74.00618026,4619
2019,August,Bank St & Washington St,40.7361967,-74.00859207,4160
2019,August,Banker St & Meserole Ave,40.72606,-73.95621,1534
2019,August,Barclay St & Church St,40.71291224,-74.01020234,5170
2019,August,Barrow St & Hudson St,40.73172428,-74.00674436,6945
2019,August,Bayard St & Baxter St,40.71602118,-73.99974372,4925
2019,August,Bayard St & Leonard St,40.71915572,-73.94885391,1489
2019,August,Bedford Ave & Bergen St,40.676368,-73.952918,1599
2019,August,Bedford Ave & Montgomery St,40.665816,-73.956934,312
2019,August,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3260
2019,August,Bedford Ave & S 9 St,40.70853074,-73.96408963,800
2019,August,Bergen St & Flatbush Ave,40.68094472,-73.97567332,1799
2019,August,Bergen St & Smith St,40.6867443,-73.99063168,3741
2019,August,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,1968
2019,August,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,1094
2019,August,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,2330
2019,August,Berry St & N 8 St,40.7190095,-73.95852515,3217
2019,August,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,1782
2019,August,Boerum St & Broadway,40.70538077,-73.94976519,1033
2019,August,Bond St & Bergen St,40.6849668,-73.98620772,1325
2019,August,Bond St & Fulton St,40.68962189,-73.98304269,3565
2019,August,Broad St & Bridge St,40.70365182,-74.01167797,1755
2019,August,Broadway & 12 St,40.7668,-73.9347774,508
2019,August,Broadway & Battery Pl,40.70463334,-74.01361706,5873
2019,August,Broadway & Berry St,40.71044554,-73.96525063,2990
2019,August,Broadway & E 14 St,40.73454567,-73.99074142,12622
2019,August,Broadway & E 22 St,40.7403432,-73.98955109,11536
2019,August,Broadway & Moylan Pl,40.8143256,-73.9590255,2090
2019,August,Broadway & Roebling St,40.70924826,-73.96063149,2394
2019,August,Broadway & W 122 St,40.8120562,-73.9612547,708
2019,August,Broadway & W 25 St,40.74286877,-73.98918629,9792
2019,August,Broadway & W 29 St,40.7462009,-73.98855723,7392
2019,August,Broadway & W 36 St,40.75097711,-73.98765428,3324
2019,August,Broadway & W 37 St,40.75172632,-73.98753523,3334
2019,August,Broadway & W 38 St,40.75299641,-73.98721619,5044
2019,August,Broadway & W 41 St,40.75513557,-73.98658032,8912
2019,August,Broadway & W 49 St,40.76068327,-73.98452729,7581
2019,August,Broadway & W 51 St,40.76228826,-73.98336183,4484
2019,August,Broadway & W 53 St,40.76344058,-73.98268129,4944
2019,August,Broadway & W 56 St,40.7652654,-73.98192338,8137
2019,August,Broadway & W 60 St,40.76915505,-73.98191841,11964
2019,August,Broadway & Whipple St,40.7016657,-73.9437303,1118
2019,August,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,1776
2019,August,Bus Slip & State St,40.701907,-74.013942,3802
2019,August,Bushwick Ave & McKibbin St,40.705517,-73.93936,425
2019,August,Bushwick Ave & Powers St,40.71247661,-73.94100005,985
2019,August,Bushwick Ave & Stagg St,40.709897,-73.94008,240
2019,August,Butler St & Court St,40.6849894,-73.99440329,1038
2019,August,Cadman Plaza E & Johnson St,40.69531728,-73.99015725,1626
2019,August,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,2914
2019,August,Cadman Plaza West & Montague St,40.69383,-73.990539,2290
2019,August,Cambridge Pl & Gates Ave,40.68488,-73.96304,1113
2019,August,Canal St & Rutgers St,40.71427487,-73.98990025,7240
2019,August,Carlton Ave & Dean St,40.6809741,-73.9710097,1512
2019,August,Carlton Ave & Flushing Ave,40.697787,-73.973736,1418
2019,August,Carlton Ave & Park Ave,40.69580705,-73.97355569,1262
2019,August,Carmine St & 6 Ave,40.73038599,-74.00214988,9740
2019,August,Carroll St & 5 Ave,40.6751622,-73.9814832,1865
2019,August,Carroll St & 6 Ave,40.6740886,-73.9787282,534
2019,August,Carroll St & Bond St,40.6786115,-73.99037292,1416
2019,August,Carroll St & Columbia St,40.6830456,-74.00348559,1322
2019,August,Carroll St & Franklin Ave,40.6679411,-73.9588,275
2019,August,Carroll St & Smith St,40.680611,-73.99475825,1948
2019,August,Carroll St & Washington Ave,40.6686744,-73.9618148,430
2019,August,Cathedral Pkwy & Broadway,40.804213,-73.96699104,2130
2019,August,Catherine St & Monroe St,40.71117444,-73.99682619,2885
2019,August,Cedar St & Myrtle Ave,40.697842,-73.926241,1189
2019,August,Center Blvd & 48 Ave,40.745038,-73.957539,1065
2019,August,Center Blvd & 51 Ave,40.74336608,-73.95960689,1624
2019,August,Central Ave & Flushing Ave,40.702831,-73.9333,685
2019,August,Central Ave & Starr Street,40.700003,-73.92834,844
2019,August,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,4880
2019,August,Central Park S & 6 Ave,40.76590936,-73.97634151,9593
2019,August,Central Park W & W 96 St,40.79127,-73.964839,5290
2019,August,Central Park West & W 100 St,40.79406661,-73.96286845,3318
2019,August,Central Park West & W 102 St,40.795346,-73.96186,1547
2019,August,Central Park West & W 68 St,40.7734066,-73.97782542,7164
2019,August,Central Park West & W 72 St,40.77579377,-73.97620574,8439
2019,August,Central Park West & W 76 St,40.77896784,-73.97374737,4653
2019,August,Central Park West & W 82 St,40.782593,-73.971211,524
2019,August,Central Park West & W 85 St,40.78472675,-73.96961715,5443
2019,August,Centre St & Chambers St,40.71273266,-74.0046073,8777
2019,August,Centre St & Worth St,40.71494807,-74.00234482,3346
2019,August,Cherry St,40.71219906,-73.97948148,3058
2019,August,Christopher St & Greenwich St,40.73291553,-74.00711384,12251
2019,August,Clark St & Henry St,40.69760127,-73.99344559,2879
2019,August,Classon Ave & St Marks Ave,40.6765198,-73.9596082,1396
2019,August,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,927
2019,August,Clermont Ave & Park Ave,40.69573398,-73.97129668,1052
2019,August,Cleveland Pl & Spring St,40.72210379,-73.99724901,10813
2019,August,Cliff St & Fulton St,40.70838,-74.00495,4372
2019,August,Clinton Ave & Flushing Ave,40.69794,-73.96986848,974
2019,August,Clinton Ave & Myrtle Ave,40.693261,-73.968896,202
2019,August,Clinton St & 4 Place,40.6783563,-74.00014502,1023
2019,August,Clinton St & Centre St,40.67434,-74.00194698,351
2019,August,Clinton St & Grand St,40.71559509,-73.9870295,5810
2019,August,Clinton St & Joralemon St,40.69239502,-73.99337909,2397
2019,August,Clinton St & Union St,40.6831164,-73.99785267,1233
2019,August,Coffey St & Conover St,40.677236,-74.015665,817
2019,August,Columbia Heights & Cranberry St,40.70037867,-73.99548059,1112
2019,August,Columbia St & Degraw St,40.6859296,-74.00242364,1306
2019,August,Columbia St & Kane St,40.68763155,-74.0016256,1124
2019,August,Columbia St & Lorraine St,40.6747055,-74.0075572,237
2019,August,Columbia St & Rivington St,40.71739973,-73.98016555,2253
2019,August,Columbia St & W 9 St,40.6769993,-74.00647134,366
2019,August,Columbus Ave & W 103 St,40.7969347,-73.96434123,451
2019,August,Columbus Ave & W 72 St,40.7770575,-73.97898475,6567
2019,August,Columbus Ave & W 95 St,40.7919557,-73.968087,3760
2019,August,Commerce St & Van Brunt St,40.6812117,-74.00860912,414
2019,August,Concord St & Bridge St,40.69766564,-73.98476437,1168
2019,August,Congress St & Clinton St,40.6881529,-73.99520919,1858
2019,August,Cooper Square & Astor Pl,40.72951496,-73.9907527,8692
2019,August,Court St & Nelson St,40.6763947,-73.99869893,969
2019,August,Court St & State St,40.6902375,-73.99203074,2884
2019,August,Crescent St & 30 Ave,40.768692,-73.9249574,760
2019,August,Crescent St & 34 Ave,40.76108,-73.930562,565
2019,August,Crescent St & 35 Ave,40.7596276,-73.9321455,486
2019,August,Crescent St & Broadway,40.7633589,-73.9286471,1140
2019,August,Crescent St & Ditmars Blvd,40.7787185,-73.9145645,494
2019,August,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1484
2019,August,DeKalb Ave & Franklin Ave,40.69064807,-73.95746179,1231
2019,August,DeKalb Ave & Hudson Ave,40.689888,-73.981013,2475
2019,August,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2003
2019,August,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,1890
2019,August,Dean St & 4 Ave,40.68312489,-73.97895137,2577
2019,August,Dean St & Franklin Ave,40.67759207,-73.95563722,1363
2019,August,Dean St & Hoyt St,40.6864442,-73.98759104,1103
2019,August,Degraw St & Hoyt St,40.68199044,-73.99079025,764
2019,August,Degraw St & Smith St,40.6829151,-73.99318208,1484
2019,August,Devoe St & Lorimer St,40.71335226,-73.94910336,2011
2019,August,Devoe St & Morgan Ave,40.713811,-73.93515,401
2019,August,Ditmars Blvd & 19 St,40.78145,-73.9183302,1041
2019,August,Division Av & Hooper St,40.70684203,-73.9544354,1132
2019,August,Division Ave & Marcy Ave,40.70708701,-73.95796783,503
2019,August,Division St & Bowery,40.71413089,-73.9970468,4488
2019,August,Dock 72 Way & Market St,40.69985,-73.97141,565
2019,August,Douglass St & 3 Ave,40.6802133,-73.98432695,1695
2019,August,Douglass St & 4 Ave,40.6792788,-73.98154004,1267
2019,August,Driggs Ave & Lorimer St,40.72179134,-73.9504154,1769
2019,August,Driggs Ave & N 9 St,40.71816969,-73.95520136,3472
2019,August,Driggs Ave & N Henry St,40.72325,-73.94308,1837
2019,August,Duane St & Greenwich St,40.71748752,-74.0104554,2372
2019,August,Duffield St & Willoughby St,40.69221589,-73.9842844,2199
2019,August,Dwight St & Van Dyke St,40.67363551,-74.01195556,312
2019,August,E 10 St & 5 Ave,40.73331967,-73.99510132,4021
2019,August,E 10 St & Avenue A,40.72740794,-73.98142006,7233
2019,August,E 102 St & 1 Ave,40.7869946,-73.94164802,2377
2019,August,E 102 St & Park Ave,40.7904828,-73.95033068,1092
2019,August,E 103 St & Lexington Ave,40.7903051,-73.94755757,1405
2019,August,E 106 St & 1 Ave,40.7892529,-73.93956237,765
2019,August,E 106 St & Lexington Ave,40.791976,-73.945993,909
2019,August,E 106 St & Madison Ave,40.7934337,-73.94945003,1024
2019,August,E 109 St & 3 Ave,40.79329668,-73.9432083,881
2019,August,E 11 St & 1 Ave,40.72953837,-73.98426726,6656
2019,August,E 11 St & 2 Ave,40.73047309,-73.98672378,5157
2019,August,E 11 St & Avenue B,40.72746421,-73.97950418,5268
2019,August,E 110 St & Madison Ave,40.7961535,-73.94782145,2001
2019,August,E 114 St & 1 Ave,40.7945663,-73.9362541,788
2019,August,E 115 St & Lexington Ave,40.797911,-73.9423,1175
2019,August,E 115 St & Madison Ave,40.7989445,-73.944846,717
2019,August,E 116 St & 2 Ave,40.796879,-73.937261,776
2019,August,E 118 St & 1 Ave,40.79747,-73.93504,969
2019,August,E 118 St & 3 Ave,40.799139,-73.9389152,1084
2019,August,E 118 St & Madison Ave,40.8014866,-73.9442507,795
2019,August,E 118 St & Park Ave,40.8005385,-73.9419949,547
2019,August,E 12 St & 3 Ave,40.73223272,-73.98889957,4491
2019,August,E 12 St & 4 Av,40.73269,-73.98974,5627
2019,August,E 123 St & Lexington Ave,40.8029263,-73.9379,830
2019,August,E 128 St & Madison Ave,40.80756,-73.939182,771
2019,August,E 13 St & Avenue A,40.72966729,-73.98067966,9288
2019,August,E 15 St & 3 Ave,40.734232,-73.986923,6700
2019,August,E 16 St & 5 Ave,40.73726186,-73.99238967,7530
2019,August,E 16 St & Irving Pl,40.73536706,-73.98797393,4466
2019,August,E 17 St & Broadway,40.73704984,-73.99009296,14345
2019,August,E 19 St & 3 Ave,40.73624527,-73.98473765,4604
