Rider Gender,Rider Age,User Type,Total Riders
Male,33,Subscriber,275869
Male,34,Customer,31372
Male,34,Subscriber,264253
Male,35,Customer,27323
Male,35,Subscriber,247640
Male,36,Customer,25950
Male,36,Subscriber,227991
Male,37,Customer,22586
Male,37,Subscriber,209446
Male,38,Customer,17845
Male,38,Subscriber,205819
Male,39,Customer,16113
Male,39,Subscriber,191336
Male,40,Customer,14280
Male,40,Subscriber,176860
Male,41,Customer,12587
Male,41,Subscriber,155397
Male,42,Customer,10356
Male,42,Subscriber,142953
Male,43,Customer,10865
Male,43,Subscriber,148205
Male,44,Customer,9233
Male,44,Subscriber,134527
Male,45,Customer,8475
Male,45,Subscriber,128479
Male,46,Customer,8381
Male,46,Subscriber,123012
Male,47,Customer,7504
Male,47,Subscriber,123039
Male,48,Customer,7363
Male,48,Subscriber,126022
Male,49,Customer,8091
Male,49,Subscriber,130437
Male,50,Customer,6438
Male,50,Subscriber,125722
Male,51,Customer,6655
Male,51,Subscriber,117297
Male,52,Customer,5137
Male,52,Subscriber,109990
Male,53,Customer,4889
Male,53,Subscriber,107646
Male,54,Customer,5237
Male,54,Subscriber,101881
Male,55,Customer,4737
Male,55,Subscriber,103123
Male,56,Customer,4506
Male,56,Subscriber,100356
Male,57,Customer,3787
Male,57,Subscriber,89913
Male,58,Customer,3250
Male,58,Subscriber,78553
Male,59,Customer,2733
Male,59,Subscriber,77018
Male,60,Customer,2497
Male,60,Subscriber,70892
Male,61,Customer,2206
Male,61,Subscriber,59061
Male,62,Customer,1433
Male,62,Subscriber,51785
Male,63,Customer,1489
Male,63,Subscriber,51522
Male,64,Customer,858
Male,64,Subscriber,46109
Male,65,Customer,863
Male,65,Subscriber,37471
Male,66,Customer,855
Male,66,Subscriber,34734
Male,67,Customer,725
Male,67,Subscriber,27043
Male,68,Customer,606
Male,68,Subscriber,20350
Male,69,Customer,575
Male,69,Subscriber,16389
Male,70,Customer,407
Male,70,Subscriber,13227
Male,71,Customer,244
Male,71,Subscriber,10956
Male,72,Customer,213
Male,72,Subscriber,10652
Male,73,Customer,196
Male,73,Subscriber,8962
Male,74,Customer,179
Male,74,Subscriber,6902
Male,75,Customer,72
Male,75,Subscriber,3698
Male,76,Customer,157
Male,76,Subscriber,3635
Male,77,Customer,144
Male,77,Subscriber,4303
Male,78,Customer,33
Male,78,Subscriber,3429
Male,79,Customer,31
Male,79,Subscriber,2800
Male,80,Customer,19
Male,80,Subscriber,1440
Male,81,Customer,9
Male,81,Subscriber,691
Male,82,Customer,13
Male,82,Subscriber,576
Male,83,Customer,1
Male,83,Subscriber,1130
Male,84,Customer,3
Male,84,Subscriber,1094
Male,85,Customer,5
Male,85,Subscriber,232
Male,86,Customer,32
Male,86,Subscriber,127
Male,87,Customer,2
Male,87,Subscriber,111
Male,88,Subscriber,50
Male,89,Customer,1
Male,89,Subscriber,174
Male,90,Customer,15
Male,90,Subscriber,91
Male,91,Customer,31
Male,91,Subscriber,176
Male,92,Subscriber,88
Male,93,Subscriber,8
Male,94,Subscriber,5
Male,95,Customer,21
Male,95,Subscriber,86
Male,96,Subscriber,118
Male,97,Subscriber,12
Male,98,Subscriber,87
Male,100,Customer,14
Male,100,Subscriber,54
Male,101,Subscriber,139
Male,102,Customer,33
Male,102,Subscriber,210
Male,103,Subscriber,44
Male,104,Subscriber,29
Male,105,Subscriber,45
Male,106,Customer,3
Male,106,Subscriber,6
Male,108,Subscriber,151
Male,109,Customer,1
Male,109,Subscriber,36
Male,110,Customer,1
Male,110,Subscriber,15
Male,111,Customer,3
Male,112,Subscriber,8
Male,113,Subscriber,6
Male,115,Customer,2
Male,118,Customer,4
Male,118,Subscriber,103
Male,119,Customer,10
Male,119,Subscriber,651
Male,120,Customer,42
Male,120,Subscriber,999
Male,121,Subscriber,3
Male,122,Subscriber,1
Male,123,Subscriber,172
Male,124,Subscriber,35
Male,125,Subscriber,12
Male,129,Customer,1
Male,130,Customer,11
Male,130,Subscriber,150
Male,131,Subscriber,264
Male,132,Subscriber,163
Male,133,Subscriber,64
Male,134,Customer,1
Male,134,Subscriber,65
Male,136,Subscriber,5
Male,145,Subscriber,3
Male,147,Subscriber,12
Unknown,16,Customer,31
Unknown,16,Subscriber,149
Unknown,17,Customer,58
Unknown,17,Subscriber,61
Unknown,18,Customer,160
Unknown,18,Subscriber,115
Unknown,19,Customer,357
Unknown,19,Subscriber,1140
Unknown,20,Customer,510
Unknown,20,Subscriber,1981
Unknown,21,Customer,785
Unknown,21,Subscriber,927
Unknown,22,Customer,874
Unknown,22,Subscriber,771
Unknown,23,Customer,872
Unknown,23,Subscriber,1523
Unknown,24,Customer,1290
Unknown,24,Subscriber,3261
Unknown,25,Customer,1031
Unknown,25,Subscriber,3779
Unknown,26,Customer,1033
Unknown,26,Subscriber,3137
Unknown,27,Customer,1297
Unknown,27,Subscriber,4477
Unknown,28,Customer,1096
Unknown,28,Subscriber,4625
Unknown,29,Customer,1545
Unknown,29,Subscriber,5301
Unknown,30,Customer,2705
Unknown,30,Subscriber,7600
Unknown,31,Customer,1207
Unknown,31,Subscriber,5349
Unknown,32,Customer,980
Unknown,32,Subscriber,3223
Unknown,33,Customer,727
Unknown,33,Subscriber,3158
Unknown,34,Customer,596
Unknown,34,Subscriber,2926
Unknown,35,Customer,604
Unknown,35,Subscriber,2845
Unknown,36,Customer,752
Unknown,36,Subscriber,3723
Unknown,37,Customer,901
Unknown,37,Subscriber,3346
Unknown,38,Customer,424
Unknown,38,Subscriber,3217
Unknown,39,Customer,389
Unknown,39,Subscriber,3285
Unknown,40,Customer,505
Unknown,40,Subscriber,3468
Unknown,41,Customer,341
Unknown,41,Subscriber,1976
Unknown,42,Customer,354
Unknown,42,Subscriber,1423
Unknown,43,Customer,218
Unknown,43,Subscriber,1578
Unknown,44,Customer,211
Unknown,44,Subscriber,2576
Unknown,45,Customer,261
Unknown,45,Subscriber,1968
Unknown,46,Customer,231
Unknown,46,Subscriber,1466
Unknown,47,Customer,151
Unknown,47,Subscriber,1502
Unknown,48,Customer,107
Unknown,48,Subscriber,1668
Unknown,49,Customer,128
Unknown,49,Subscriber,909
Unknown,50,Customer,473972
Unknown,50,Subscriber,56725
Unknown,51,Customer,756519
Unknown,51,Subscriber,46191
Unknown,52,Customer,71
Unknown,52,Subscriber,1684
Unknown,53,Customer,135
Unknown,53,Subscriber,640
Unknown,54,Customer,224
Unknown,54,Subscriber,1078
Unknown,55,Customer,151
Unknown,55,Subscriber,459
Unknown,56,Customer,73
Unknown,56,Subscriber,2136
