End Station,End Latitude,End Longitude,Total Trips Ended
48 Ave & 5 St,40.74436329,-73.95587325,4329
49 Ave & 21 St,40.74252,-73.948852,3041
5 Av & W 139 St,40.815484,-73.935856,3835
5 Ave & 3 St,40.6728155,-73.98352355,12546
5 Ave & E 103 St,40.7922553,-73.95249933,18742
5 Ave & E 126 St,40.80698,-73.941747,6911
5 Ave & E 135 St,40.812191,-73.937838,2103
5 Ave & E 29 St,40.7451677,-73.98683077,34018
5 Ave & E 63 St,40.766368,-73.971518,17019
5 Ave & E 73 St,40.77282817,-73.96685276,41162
5 Ave & E 78 St,40.77632142,-73.96427393,26180
5 Ave & E 88 St,40.78307,-73.95939,38133
5 Ave & E 93 St,40.7857851,-73.957481,13672
5 Ave & W 131 St,40.81014,-73.93973,2481
5 St & 51 Ave,40.7423737,-73.9566,3168
5 St & 6 Ave,40.6704836,-73.98208968,3887
5 St & Market St,40.69999748,-73.97440128,1373
6 Ave & 12 St,40.6663181,-73.9854617,5342
6 Ave & 9 St,40.668127,-73.98377641,6684
6 Ave & Broome St,40.72430832,-74.00473036,34361
6 Ave & Canal St,40.72243797,-74.00566443,27328
6 Ave & W 33 St,40.74901271,-73.98848395,53085
6 Ave & W 34 St,40.74964,-73.98805,34435
6 St & 7 Ave,40.6686627,-73.97988067,6255
7 Ave & Central Park South,40.76674056,-73.97906899,36398
7 Ave & Park Pl,40.6776147,-73.97324283,13065
7 St & 3 Ave,40.67260298,-73.98983002,4230
7 St & 5 Ave,40.6704922,-73.98541675,5320
8 Ave & W 16 St,40.740983,-74.001702,881
8 Ave & W 31 St,40.75058535,-73.99468482,58552
8 Ave & W 33 St,40.751551,-73.993934,51593
8 Ave & W 38 St,40.75461,-73.99177,20830
8 Ave & W 52 St,40.76370739,-73.9851615,38720
9 Ave & W 18 St,40.74317449,-74.00366443,27002
9 Ave & W 22 St,40.7454973,-74.00197139,45588
9 Ave & W 28 St,40.74937024,-73.99923384,29172
9 Ave & W 45 St,40.76019252,-73.9912551,39358
9 St & 44 Rd,40.74966,-73.9521,3312
Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,4739
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,6608
Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,7396
Adam Clayton Powell Blvd & W 126 St,40.80949535,-73.94776493,9291
Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168,2043
Adam Clayton Powell Blvd & W 132 St,40.813539,-73.94521,3416
Adam Clayton Powell Blvd & W 138 St,40.81695971,-73.94229591,5210
Adam Clayton Powell Blvd & W 141 St,40.819241,-73.941057,2559
Adam Clayton Powell Blvd & W 151 St,40.825289,-73.936232,1052
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,10801
Albany Ave & Fulton St,40.6800105,-73.938475,2688
Alexander Ave & E 134 St,40.807466,-73.927107,962
Allen St & Hester St,40.71605866,-73.99190759,33695
Allen St & Rivington St,40.72019576,-73.98997825,35098
Allen St & Stanton St,40.722055,-73.989111,38700
Amsterdam Ave & W 119 St,40.8086249,-73.9596214,5437
Amsterdam Ave & W 125 St,40.813358,-73.956461,6557
Amsterdam Ave & W 131 St,40.816355,-73.954295,1179
Amsterdam Ave & W 136 St,40.819746,-73.951819,1382
Amsterdam Ave & W 152 St,40.829523,-73.944279,1200
Amsterdam Ave & W 156 St,40.832081,-73.942386,885
Amsterdam Ave & W 162 St,40.83618,-73.939789,959
Amsterdam Ave & W 167 St,40.839443,-73.937044,885
Amsterdam Ave & W 172 St,40.842173,-73.935111,959
Amsterdam Ave & W 175 St,40.844044,-73.933651,643
Amsterdam Ave & W 180 St,40.847396,-73.931205,641
Amsterdam Ave & W 183 St,40.84925,-73.93022,1171
Amsterdam Ave & W 66 St,40.7746671,-73.98470567,11772
Amsterdam Ave & W 73 St,40.77966809,-73.98093045,35569
Amsterdam Ave & W 79 St,40.7829391,-73.9786517,11364
Amsterdam Ave & W 82 St,40.78524672,-73.97667321,22896
Anderson Ave & W 164 St,40.832057,-73.927421,131
Astor Place,40.7192822,-74.07126188,2
Astoria Park S & Shore Blvd,40.7767,-73.927631,8900
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,12442
Atlantic Ave & Furman St,40.69165183,-73.9999786,21964
Audobon Ave & W 179 St,40.847305,-73.933291,522
Avenue C & E 18 St,40.730563,-73.973984,18804
Avenue D & E 10 St,40.72506551,-73.97515833,5270
Avenue D & E 12 St,40.72580614,-73.97422494,6308
Avenue D & E 3 St,40.72082834,-73.97793172,16605
Avenue D & E 8 St,40.72368361,-73.97574813,7829
Avenue D & E 8 St,40.72387,-73.975767,6423
Baltic St & 5 Ave,40.6795766,-73.97854971,10866
Bank St & Hudson St,40.73652889,-74.00618026,27081
Bank St & Washington St,40.7361967,-74.00859207,25308
Banker St & Meserole Ave,40.72606,-73.95621,8633
Barclay St & Church St,40.71291224,-74.01020234,21991
Barrow St & Hudson St,40.73172428,-74.00674436,38332
Barry St & Tiffany St,40.816126,-73.891559,20
Bayard St & Baxter St,40.71602118,-73.99974372,27023
Bayard St & Leonard St,40.71915572,-73.94885391,8291
Beaver St & Fayette St,40.70099,-73.93921,3847
Beck St & Leggett Ave,40.815077,-73.899939,186
Bedford Ave & Bergen St,40.676368,-73.952918,11313
Bedford Ave & Montgomery St,40.665816,-73.956934,3255
Bedford Ave & Nassau Ave,40.72311651,-73.95212324,20472
