Start Station,Average Trip Duration,Trip rounded to min
Douglass St & 3 Ave,1139.96,19
Douglass St & 4 Ave,1057.86,18
Driggs Ave & Lorimer St,877.22,15
Driggs Ave & N 9 St,1010.8,17
Driggs Ave & N Henry St,945.68,16
Duane St & Greenwich St,1153.41,19
Duffield St & Willoughby St,1105.99,18
Dwight St & Van Dyke St,1489.52,25
E 10 St & 5 Ave,928.13,15
E 10 St & Avenue A,1011.32,17
E 102 St & 1 Ave,1322.02,22
E 102 St & Park Ave,1423.12,24
E 103 St & Lexington Ave,1082.8,18
E 106 St & 1 Ave,1673.14,28
E 106 St & Lexington Ave,1278.22,21
E 106 St & Madison Ave,1742.76,29
E 109 St & 3 Ave,1382.24,23
E 11 St & 1 Ave,886.74,15
E 11 St & 2 Ave,954.85,16
E 11 St & Avenue B,927.57,15
E 110 St & Madison Ave,1415.5,24
E 114 St & 1 Ave,1300.51,22
E 115 St & Lexington Ave,1331.9,22
E 115 St & Madison Ave,1207.13,20
E 116 St & 2 Ave,1607.8,27
E 118 St & 1 Ave,1504.84,25
E 118 St & 3 Ave,1502.06,25
E 118 St & Madison Ave,1667.91,28
E 118 St & Park Ave,1055.59,18
E 12 St & 3 Ave,831.27,14
E 12 St & 4 Av,735.11,12
E 123 St & Lexington Ave,1208.19,20
E 128 St & 3 Ave,2879.68,48
E 128 St & Madison Ave,2176.17,36
E 13 St & Avenue A,947.61,16
E 132 St & Madison Ave,1689.57,28
E 133 St & Cypress Pl,1914.23,32
E 134 St & Walnut Ave,2428.54,40
E 135 St & St Ann's Ave,6255.16,104
E 138 St & 5 Av,1190.16,20
E 138 St & Canal St W,1431.75,24
E 138 St & Cypress Ave,1790.71,30
E 138 St & Grand Concourse,1115.64,19
E 138 St & Willow Ave,2985.2,50
E 141 St & Jackson Ave,2440.29,41
E 141 St & St Ann's Ave,1896.25,32
E 142 St & 3 Ave,4863.79,81
E 144 St & Brook Ave,3747.71,62
E 147 St & Bergen Ave,3305.83,55
E 149 St & Eagle Ave,1653.09,28
E 149 St & Jackson Ave,2860.41,48
E 149 St & Morris Ave,2410.09,40
E 149 St & Park Ave,1859.26,31
E 15 St & 3 Ave,869.07,14
E 150 St & Gerard Ave,1512.5,25
E 153 St & E 157 St,1565.78,26
E 155 St & Courtlandt Ave,5589.68,93
E 156 & Brook Ave,2724.49,45
E 157 St & River Ave,2957.05,49
E 158 St & Melrose Ave,2190.18,37
E 16 St & 5 Ave,887.12,15
E 16 St & Irving Pl,799.89,13
E 160 St & Tinton Ave,4229.26,70
E 161 St & Park Ave,8010.87,134
E 161 St & River Ave,4184.71,70
E 163 St & Tiffany St,1686.5,28
E 163 St & Union Ave,1311.2,22
E 165 St & Clay Ave,1210.04,20
E 165 St & Fox St,1250.38,21
E 165 St & Jerome Ave,1165.53,19
E 167 St & Bryant Ave,1786,30
E 167 St & Clay Ave,14611.33,244
E 167 St & Franklin Ave,2210.67,37
E 169 St & Fox St,1668.03,28
E 169 St & Webster Ave,3679.3,61
E 17 St & Broadway,899.26,15
E 170 St & Clay Ave,1590.06,27
E 170 St & Webster Ave,6770.47,113
E 171 St & Webster Ave,4668.24,78
E 174 St & Longfellow Ave,2494.67,42
E 19 St & 3 Ave,950.19,16
E 2 St & 2 Ave,953.55,16
E 2 St & Avenue A,935.14,16
E 2 St & Avenue B,1068.53,18
E 2 St & Avenue C,1016.96,17
E 20 St & 2 Ave,836.78,14
E 20 St & FDR Drive,978.57,16
E 20 St & Park Ave,917.13,15
E 23 St & 1 Ave,956.6,16
E 24 St & Park Ave S,835.87,14
E 25 St & 1 Ave,978.86,16
E 25 St & 2 Ave,886.64,15
E 27 St & 1 Ave,835.58,14
E 30 St & Park Ave S,880.81,15
E 31 St & 3 Ave,1050.06,18
E 32 St & Park Ave,894.08,15
E 33 St & 1 Ave,986.05,16
E 33 St & 5 Ave,991.35,17
E 39 St & 2 Ave,926.2,15
E 39 St & 3 Ave,881.75,15
E 39 St & Lexington Ave,966.87,16
E 4 St & 2 Ave,985.19,16
E 41 St & Madison Ave,838.03,14
E 43 St & 2 Ave,1125.45,19
E 43 St & 5 Ave,859.97,14
E 44 St & 2 Ave,1029.11,17
E 45 St & 3 Ave,1030.4,17
E 47 St & 1 Ave,1324.05,22
E 47 St & 2 Ave,973.54,16
E 47 St & Park Ave,837.18,14
E 48 St & 3 Ave,1010.94,17
E 48 St & 5 Ave,950.01,16
E 5 St & Avenue C,1169.44,19
E 51 St & 1 Ave,1044.4,17
E 51 St & 2 Ave,1146.11,19
E 51 St & Lexington Ave,1030.3,17
E 53 St & 3 Ave,927.22,15
E 53 St & Lexington Ave,1037.52,17
E 53 St & Madison Ave,913.25,15
E 55 St & 2 Ave,1070.1,18
E 56 St & 3 Ave,1175.3,20
E 56 St & Madison Ave,1045.44,17
E 58 St &  1 Ave (NW Corner),1042.8,17
E 58 St & 1 Ave (NE Corner),1085.09,18
E 58 St & 3 Ave,1047.39,17
E 58 St & Madison Ave,1261.29,21
E 59 St & Madison Ave,1301.72,22
E 6 St & Avenue B,893.78,15
E 6 St & Avenue D,964.02,16
E 60 St & York Ave,1161.95,19
E 63 St & 3 Ave,1023.22,17
E 65 St & 2 Ave,1018.54,17
E 66 St & Madison Ave,1440.83,24
E 67 St & Park Ave,1105.66,18
E 68 St & 3 Ave,921.33,15
E 68 St & Madison Ave,1250.39,21
E 7 St & Avenue A,859.07,14
E 72 St & Park Ave,1130,19
E 72 St & York Ave,1021.48,17
E 74 St & 1 Ave,990.31,17
E 75 St & 3 Ave,1048.65,17
E 76 St & Park Ave,1013.08,17
E 77 St & 3 Ave,910.27,15
E 78 St & 2 Ave,1056.01,18
E 80 St & Park Ave,975.88,16
E 81 St & 2 Ave,1199.99,20
E 81 St & 3 Ave,1013.69,17
E 81 St & Park Ave,1143.19,19
E 81 St & York Ave,963.11,16
E 82 St & East End Ave,1178.12,20
E 84 St & 1 Ave,1083.4,18
E 84 St & 3 Ave,875.13,15
E 84 St & Park Ave,1297.87,22
E 85 St & 3 Ave,1323.62,22
E 85 St & York Ave,1015.14,17
E 88 St & 1 Ave,1057.45,18
E 88 St & Park Ave,1230.45,21
E 89 St & 3 Ave,1022.65,17
E 89 St & York Ave,1060.93,18
E 9 St & Avenue C,1024.17,17
E 91 St & 2 Ave,1158.41,19
E 91 St & Park Ave,1084.54,18
E 93 St & 2 Ave,1065.61,18
E 95 St & 3 Ave,1198.93,20
E 97 St & 3 Ave,959.58,16
E 97 St & Madison Ave,1253.05,21
E 98 St & Park Ave,956.61,16
East End Ave & E 86 St,1189.38,20
Eastern Pkwy & Franklin Ave,1374.22,23
Eastern Pkwy & Washington Ave,1647.26,27
Eckford St & Engert Ave,689.87,11
Edgecombe Ave & W 141 St,1529.97,25
Edgecombe Ave & W 145 St,1414.91,24
Edgecombe Ave & W 150 St,1774.76,30
Edgecombe Ave & W 167 St,3344.93,56
Eldert St & Bushwick Ave,1430.71,24
Emerson Pl & Myrtle Ave,1014.84,17
Engert Ave & McGuinness Blvd,1037.48,17
Evergreen Ave & Noll St,1685.5,28
FDR Drive & E 35 St,1247.48,21
Faile St & Garrison Ave,4787.89,80
Fairview Ave & Linden St,1417.38,24
Flushing Ave & Vanderbilt Ave,1122.77,19
Flushing Ave & Woodward Ave,1696.65,28
Forest Ave & Summerfield St,2086.41,35
Forsyth St & Broome St,948.76,16
Forsyth St & Canal St,1127.73,19
Fort Washington Ave & W 173 St,1701.74,28
Fort Washington Ave & W 183 St,2238,37
Franklin Ave & E 169 St,1582.24,26
Franklin Ave & Empire Blvd,2252.73,38
Franklin Ave & Myrtle Ave,1003.12,17
Franklin Ave & St Marks Ave,1551.73,26
Franklin St & Dupont St,1032.89,17
Franklin St & W Broadway,1140.78,19
Frederick Douglass Blvd & Harlem River Dr,2935.1,49
Frederick Douglass Blvd & W 112 St,1361.36,23
Frederick Douglass Blvd & W 115 St,2093.58,35
Frederick Douglass Blvd & W 117 St,1934.79,32
Frederick Douglass Blvd & W 129 St,2781.96,46
Frederick Douglass Blvd & W 145 St,837.41,14
Freeman St & Reverend James A Polite Ave,3705.31,62
Freeman St & Southern Blvd,855.49,14
Front St & Gold St,1115.82,19
Front St & Jay St,1299.22,22
Front St & Maiden Ln,1288.37,21
Front St & Washington St,1494.83,25
Frost St & Debevoise Ave,1064.5,18
Frost St & Meeker Ave,1107.15,18
Fulton Ave & E 168 St,6365.09,106
Fulton Ave & St. Paul's Pl,2057.63,34
Fulton St & Adams St,1153.36,19
Fulton St & Broadway,1185.62,20
Fulton St & Clermont Ave,1420.13,24
Fulton St & Irving Pl,1416.47,24
Fulton St & Rockwell Pl,829.85,14
Fulton St & Utica Ave,2680.15,45
Fulton St & Waverly Ave,1115.56,19
Fulton St & William St,1256.6,21
Gansevoort St & Hudson St,1103.96,18
Garfield Pl & 8 Ave,1088.1,18
George St & Wilson Ave,1292.4,22
Gerard Ave & E 146 St,2064.27,34
Gerard Ave & E 164 St,1446.55,24
Gerard Ave & E 165 St,3110.13,52
Gerard Ave & McClellan St,5051.88,84
Goble Pl & Macombs Rd,5987.63,100
Graham Ave & Conselyea St,774.91,13
Graham Ave & Grand St,1139.87,19
Graham Ave & Herbert St,954.31,16
Graham Ave & Withers St,1199.01,20
Grand Army Plaza & Central Park S,1639.06,27
Grand Army Plaza & Plaza St West,1680.98,28
Grand Ave & Bergen St,1160.59,19
Grand Concourse & E 144 St,2483.84,41
Grand Concourse & E 156 St,3279.1,55
Grand Concourse & E 161 St,3685.37,61
Grand Concourse & E 164 St,1816.1,30
Grand Concourse & E 166 St,1523.99,25
Grand Concourse & E 167 St,3892.74,65
Grand Concourse & E 171 St,3436.52,57
Grand Concourse & East Mount Eden Ave,5746.66,96
Grand St & Elizabeth St,1074.06,18
Grand St & Greene St,1516.67,25
Grand St & Havemeyer St,1159.09,19
Grant Ave & E 164 St,2837.3,47
Grant Ave & E 169 St,2227.47,37
Great Jones St,815.44,14
Green St & McGuinness Blvd,1148,19
Greene Av & Myrtle Av,1670.61,28
Greene Ave & Grandview Ave,1556.86,26
Greene Ave & Nostrand Ave,1481.24,25
Greene Ave & Throop Ave,1493.7,25
Greenpoint Ave & Manhattan Ave,1039.08,17
Greenwich Ave & 8 Ave,987.44,16
Greenwich Ave & Charles St,864.14,14
Greenwich St & Hubert St,1956.78,33
Greenwich St & W Houston St,1052.05,18
Grove St & Broadway,1823.26,30
Halsey St & Broadway,2755.3,46
Halsey St & Evergreen Ave,1425.57,24
Halsey St & Tompkins Ave,1916.53,32
Hamilton Pl & W 138 St,2731.42,46
Hamilton Pl & W 140 St,3382.71,56
Hancock St & Bedford Ave,3429.07,57
Hancock St & Wyckoff Ave,1259.75,21
Hanson Pl & Ashland Pl,1093.57,18
Harlem River Dr & W 155 St,1768.52,29
Harman St & Seneca Ave,1157.82,19
Harrison Pl & Porter Ave,1135.72,19
Harrison St & Hudson St,1190.18,20
Hart St & Wyckoff Ave,1510.11,25
Henry St & Atlantic Ave,1064.14,18
Henry St & Bay St,1173.7,20
Henry St & Degraw St,815.6,14
Henry St & Grand St,937.9,16
Henry St & Middagh St,1127.53,19
Henry St & W 9 St,1929.64,32
Hicks St & Montague St,916.6,15
Hope St & Union Ave,1278.59,21
Howard St & Centre St,1082.35,18
Hoyt St & Warren St,2110.69,35
Hudson St & Reade St,1067.39,18
Humboldt St & Varet St,1767.8,29
Hunts Point Ave & Bryant Ave,17584.63,293
Huron St & Franklin St,1076,18
Icahn Stadium,1622.64,27
India St & Manhattan Ave,907.1,15
India St & West St,874.27,15
Intervale Ave & Kelly St,1396.84,23
Intervale Ave & Westchester Ave,2858.77,48
Inwood Ave & W 170 St,6016.81,100
Irving Ave & DeKalb Ave,1811.42,30
Irving Ave & Halsey St,1125.87,19
Irving Ave & Harman St,1833.28,31
Irving Ave & Jefferson St,1474.82,25
Irving Ave & Palmetto St,1197.21,20
Jackson Ave & 46 Rd,1717.04,29
Jackson St & Leonard St,1353.18,23
Jay St & Tech Pl,1521.14,25
Jay St & York St,1164.54,19
Jefferson Ave & Evergreen Ave,1211.5,20
Jefferson St & Cypress Ave,1430.64,24
Jerome Ave & Anderson Ave,1585.36,26
Jerome Ave & E 164 St,1198.81,20
Jerome Ave & Ogden Ave,869.26,14
John St & William St,1231.8,21
Johnson St & Gold St,1152.87,19
Kane St & Clinton St,1190.64,20
Kent Ave & N 7 St,1327.78,22
Kent Ave & S 11 St,1335.14,22
